Keys,Averages,ncomms_upper,ncomms_lower
0.1_0.0,1.0,1,1
0.2_0.1,1.0,1,1
0.3_0.2,1.0,1,1
0.4_0.3,1.0,1,1
0.5_0.4,1.0,1,1
0.6_0.5,1.0,1,1
0.7_0.6,1.0,1,1
0.8_0.7,1.0,1,6
0.9_0.8,0.5405006659395373,6,10
1.0_0.9,0.24868074913571625,10,23
1.1_1.0,0.23757881215268092,23,34
1.2_1.1,0.2161245857409995,34,43
1.3_1.2,0.2580177925823302,43,55
1.4_1.3,0.21450262288201702,55,66
1.5_1.4,0.25018561676928724,66,75
1.6_1.5,0.2626268771893486,75,83
1.7_1.6,0.24331806481515578,83,87
1.8_1.7,0.2212866501992897,87,102
1.9_1.8,0.2584936307780869,102,107
2.0_1.9,0.2553686703716329,107,110
