,ACC.PL,ACC.SG,DAT.PL,DAT.SG,GEN.PL,GEN.SG,INS.PL,NOM.PL,INS.SG,NOM.SG,VOC.PL,VOC.SG,STEM
DainizAm,['le'],['čoveka'],['hama'],['ri'],"['sak', 'a']",['he'],['kima'],['dci'],['škom'],['sAk'],['dci'],['ke'],['kopij']
Dak,['a'],"['p', 'c', 'a']",['evima'],['oj'],['i'],['ri'],['tima'],,['čovekom'],['go'],['čadi'],"['kč', 'e']",['obiL']
Damija,"['s', 'ke']",['Ao'],"['lci', 'ma']",['di'],"['ac', 'a']",['ti'],"['ć', 'cima']",['Ludi'],"['š', 'cem']",['čovek'],['čevi'],['ško'],['kropil']
Danarika,['he'],"['p', 'c', 'a']","['zi', 'ma']",['Li'],"['t', 'a']",['ha'],"['š', 'cima']",['evi'],[''],['l'],['mi'],['ju'],['šrapnel']
Delat,['tke'],['i'],['ama'],['gu'],['di'],['oga'],['ovima'],['sti'],['om'],['s'],"['j', 'a']","['ćč', 'e']",['administrativk']
Dem,['čeve'],['ne'],['Lama'],['etu'],"['žac', 'a']",['ja'],"['N', 'ima']",['le'],"['š', 'cem']",['d'],['me'],['jo'],['audiolo']
Demat,['ge'],['hu'],"['mi', 'a']",[''],"['s', 'kov', 'a']",['eta'],['govima'],['je'],['ri'],"['šk', 'a']","['s', 'kovi']",['e'],['lestvic']
Demper,"['p', 'e']","['oc', 'a']",['ama'],"['p', 'cu']","['ić', 'a']",['ina'],['om'],['ji'],['tom'],['h'],"['ć', 'ci']",['lu'],['kolač']
Denaza,['ke'],['d'],['govima'],['di'],"['tac', 'a']",,['tima'],['evi'],['em'],['bA'],"['ć', 'ci']",['vo'],['verifikacij']
Dentlmen,['ću'],['ina'],['etima'],['nu'],['čadi'],"['p', 'ca']",['em'],['me'],['gom'],['lAc'],['zi'],"['a', 'u']",['oftalmolo']
Dep,['ve'],['z'],['vima'],['gu'],"['zak', 'a']",['sti'],"['sci', 'ma']","['a', 'ci']","['s', 'cem']",['sAk'],['u'],['čoveče'],['svadb']
Devahir,"['c', 'a']",['mo'],['ama'],['cu'],"['ac', 'a']","['s', 'a']",['vima'],"['s', 'kovi']",['i'],['Ak'],['evi'],['ko'],['preLub']
Devajir,['eri'],['šku'],['čevima'],"['š', 'cu']",['Ludi'],['ina'],['jama'],"['v', 'a']",['škom'],['dAc'],"['v', 'a']",['ne'],['uprav']
Dever,"['et', 'a']",['u'],['hama'],"['š', 'cu']","['et', 'a']","['N', 'a']",['slima'],['ići'],['com'],['st'],['sci'],['li'],['odse']
Dez,['eve'],['t'],['čadi'],['vi'],['di'],"['p', 'ca']","['ć', 'cima']",['šci'],['đu'],['k'],"['a', 'i']",['ho'],['malodušj']
Dezva,['di'],"['oc', 'a']",['ocima'],['vi'],['li'],['sti'],"['p', 'cima']","['et', 'a']","['N', 'em']",[''],"['j', 'a']",['le'],['šiparic']
DiDa,['sli'],['vo'],['lima'],['nu'],['ti'],"['p', 'ca']","['jeli', 'ma']",['eri'],['hom'],['i'],['sci'],['sti'],['kozmodrom']
Dihad,"['ć', 'ce']","['s', 'k']",['Lama'],['ju'],"['et', 'a']",['ha'],['em'],"['p', 'a']","['N', 'em']",['i'],['i'],['bo'],"['visorav', 'n']"
DinizAm,['kove'],['r'],['ocima'],['su'],['adi'],['ca'],"['ma', 'a']",['be'],['šću'],"['j', 'a']",['hovi'],['šče'],['drzni']
Dip,['gove'],['ko'],['kovima'],['lu'],"['ev', 'a']",,['em'],"['č', 'ci']","['p', 'em']",['zAc'],"['p', 'i']",['čoveče'],['snopovL']
Doging,"['ć', 'ce']",['sAo'],['cima'],['etu'],[''],['sti'],"['jeli', 'ma']","['p', 'i']","['p', 'cem']",['sAc'],['di'],['eri'],['vjerovaN']
Doint,"['s', 'kove']",['dAk'],"['šci', 'ma']",['mi'],,['je'],['rima'],"['t', 'a']",['mom'],['žAc'],['sti'],['ke'],['biLežnic']
Dokej,['ši'],['žAk'],,['mi'],"['v', 'a']","['s', 'a']",['tkama'],['sli'],['lom'],['Ao'],"['et', 'a']",['ho'],['biber']
Dukela,"['s', 'ce']",['šku'],['ći'],"['š', 'ku']","['a', 'a']",['a'],['kovima'],['ti'],['li'],['Ao'],['a'],['ku'],"['maest', 'r']"
Dungla,['ve'],"['h', 'a']",['kama'],['šci'],['čadi'],[''],['om'],['jeli'],"['le', 'm']",['d'],"['p', 'ci']",,['slušateLstv']
Laga,['ve'],['žAk'],['zovima'],,"['s', 'kov', 'a']","['š', 'ka']",['zovima'],['ke'],['ma'],['go'],['ti'],['ri'],['specifikacij']
LetovaNe,['tke'],['šku'],,['lu'],"['v', 'a']","['s', 'ca']",['škama'],"['v', 'a']",[''],"['p', 'e']",['eri'],['tko'],['fantiteL']
Levak,"['t', 'a']",['st'],['lima'],[''],"['ac', 'a']","['z', 'a']",['im'],['čevi'],"['ć', 'cem']",['Ak'],['le'],"['ćč', 'e']",['cič']
LiLan,,['o'],['i'],"['a', 'ku']",['u'],['eta'],['ovima'],,['jom'],['d'],"['c', 'a']",['sti'],['ćumurDij']
Lubav,['a'],"['v', 'a']",['lima'],"['a', 'u']","['ak', 'a']","['p', 'ca']",['lovima'],['ci'],"['ć', 'cem']",['Ac'],['ci'],['li'],['brojaN']
Lubavnica,[''],['ce'],['ama'],['ku'],"['žak', 'a']",['ve'],"['dci', 'ma']","['c', 'a']",['cetom'],['lAk'],['ri'],['go'],['galerij']
Lubavnik,['ge'],['žAk'],['stima'],"['t', 'ku']",['ki'],['ge'],['jama'],"['a', 'ci']",['tom'],['dAc'],['čevi'],['me'],"['afik', 's']"
Lubaznica,['jele'],['t'],['hovima'],['mi'],"['n', 'a']","['o', 'ka']",['nima'],['ga'],['tkom'],['ho'],['a'],"['N', 'u']",['kretaN']
Lubaznik,"['m', 'a']",['ho'],['Lama'],['vu'],"['ak', 'a']","['z', 'a']",['ovima'],['ići'],['cem'],['A'],"['v', 'a']",['te'],"['poklonst', 'v']"
Lubica,['ove'],['lAk'],"['s', 'cima']",['li'],['staka'],['oga'],['ađu'],"['č', 'ci']",['eri'],['lAc'],"['k', 'ci']",['vo'],['harpunar']
LubimAc,"['a', 'e']",['je'],['čadi'],"['š', 'cu']","['zac', 'a']",['a'],['im'],['ji'],['eri'],"['L', 'a']","['t', 'a']",['ne'],['izla']
LubiteL,['li'],['vo'],"['lci', 'ma']","['š', 'cu']","['čev', 'a']","['oc', 'a']",['lovima'],"['m', 'a']",['kom'],[''],['ri'],"['t', 'ku']",['krčmar']
LubiteLica,['ti'],['stAk'],['Lima'],['Lu'],['ti'],['a'],"['s', 'cima']",['me'],['Lom'],['tAk'],"['p', 'i']",['vo'],"['kanibaliz', 'm']"
Lubičica,['oce'],['st'],"['ma', 'a']",['lu'],['adi'],"['N', 'a']",['ćom'],['ovi'],['u'],['tac'],['ve'],['u'],['sumNivo']
Ludeskara,"['d', 'ke']","['p', 'e']",['škama'],['lu'],"['kov', 'a']","['č', 'ca']",['nima'],"['a', 'i']",['ju'],"['s', 'k']",['lci'],['ti'],['tvar']
Ludina,['oce'],"['k', 'c', 'a']","['scim', 'a']","['a', 'u']",['eri'],['ti'],['kima'],"['v', 'a']",['đu'],['mo'],['sti'],['ke'],['rebalans']
Ludožder,['be'],['u'],['jima'],['zi'],"['tak', 'a']",['ha'],['mima'],"['p', 'a']",['som'],"['p', 'e']",['sti'],"['ćč', 'e']",['zada']
Ludstvo,"['m', 'a']",['šku'],['Lima'],['Lu'],"['hov', 'a']",['me'],"['ć', 'cima']",['dci'],['i'],[''],"['a', 'ci']",['a'],['kafan']
LutNa,['Lude'],['mu'],['stima'],['sli'],"['ić', 'a']",[''],['čađu'],"['t', 'a']",['tkom'],['dAk'],"['k', 'ci']",['ti'],['podražaj']
Luštura,['hove'],"['j', 'a']",['tkama'],['di'],['adi'],['ke'],"['šci', 'ma']",['dci'],['lom'],['k'],['je'],['te'],['marš']
Nihalo,['zove'],['žAc'],['hama'],['di'],['e'],[''],"['lci', 'ma']",['sli'],['kom'],['bA'],['he'],['še'],['bogaL']
Niva,['ri'],['io'],"['ići', 'ma']",['etu'],"['gov', 'a']",['oga'],['lima'],['i'],"['č', 'em']",['ka'],"['j', 'a']",['Ao'],['naciz']
NurgavAc,['se'],['zAc'],['rima'],"['p', 'u']","['a', 'a']","['L', 'a']",['em'],['e'],['eri'],['va'],['ge'],"['t', 'ku']","['klešt', 'a']"
Nutn,['čeve'],"['k', 'c', 'a']",['dima'],,['iju'],[''],"['mi', 'a']",['ti'],"['N', 'em']",['sAk'],['ti'],"['p', 'e']",['punomoć']
Nuška,"['n', 'a']",['A'],['erima'],['etu'],['ci'],['ja'],['jima'],[''],['mom'],['mo'],['i'],['le'],['pliš']
Nuškalo,"['c', 'a']",[''],['stima'],['etu'],['e'],['čoveka'],['jima'],['Li'],,['v'],['eri'],['di'],['paket']
aDuvan,"['v', 'a']",['vo'],"['s', 'kovima']",['šci'],"['kov', 'a']",['oga'],"['šci', 'ma']",['e'],['jom'],['a'],['čadi'],['ho'],['božur']
abak,['oce'],['tAc'],['mama'],"['š', 'cu']",['eri'],['me'],['govima'],"['n', 'a']",['lom'],['g'],['ovi'],['ko'],['glečer']
abakus,['hove'],"['p', 'c', 'a']",['gama'],['Li'],['adi'],['ške'],['zovima'],"['c', 'a']",['inom'],['io'],['Ludi'],['i'],['nevjer']
abažur,[''],['sAc'],['kama'],"['š', 'cu']","['ov', 'a']",['be'],['gama'],['ići'],['ću'],[''],['jeli'],"['s', 'ku']",['rast']
abdikacija,['ške'],['go'],['mama'],['ku'],['ci'],"['z', 'a']","['s', 'cima']",['be'],['com'],['d'],['eri'],"['N', 'u']",['anglofil']
abdikant,['le'],['k'],['slima'],"['p', 'u']","['j', 'a']","['s', 'a']",['vima'],"['v', 'a']",,['g'],['ove'],['ško'],['prodavaonic']
abdomen,['ti'],['e'],['govima'],"['a', 'ku']","['s', 'kov', 'a']",['la'],['kovima'],['kovi'],['hom'],['s'],"['p', 'i']",['sli'],['papil']
abeceda,"['n', 'a']",['vu'],['hovima'],"['ć', 'cu']","['hov', 'a']","['s', 'ka']",['ćom'],"['et', 'a']","['a', 'om']",['je'],['čadi'],['oče'],['smr']
abecedar,"['m', 'a']",['t'],['tkama'],['oj'],['ava'],['le'],['čevima'],['ši'],"['zo', 'm']",,['ga'],['ke'],['računaL']
abecedarij,,['bu'],"['mi', 'a']","['t', 'ku']",['gu'],['me'],['slima'],['a'],['cem'],[''],['ške'],['sli'],['huL']
ablacija,['a'],['k'],"['p', 'cima']",['ku'],['i'],['me'],"['s', 'kovima']",,['vom'],['sAo'],['a'],['Lo'],['bure']
ablativ,"['p', 'e']","['t', 'k', 'a']","['šci', 'ma']",['zi'],"['gac', 'a']",['sli'],['nima'],['govi'],['lom'],['tAc'],['Li'],['vo'],['glomaznost']
ablaut,"['h', 'a']",['ho'],['gama'],['vi'],"['lac', 'a']",['ve'],['rima'],"['m', 'a']",['som'],['lAk'],['me'],['e'],['slom']
abnormalnost,['ti'],['d'],['dima'],"['ć', 'cu']","['ov', 'a']",['be'],['kima'],['oci'],"['N', 'em']",['k'],['sti'],['eri'],['glasnogovorni']
abolicija,['čad'],['šku'],['jama'],['ku'],"['ba', 'a']",['ške'],['evima'],['ci'],"['č', 'em']",['e'],['Li'],"['lč', 'e']",['slatkoć']
abonent,['e'],['z'],['hama'],"['a', 'u']",['ava'],['čoveka'],"['scim', 'a']",['zi'],['šću'],['l'],['o'],"['s', 'ku']",['lutkar']
abonirAc,['ši'],['z'],['hovima'],"['p', 'cu']",['ti'],"['š', 'ca']","['šci', 'ma']",['ga'],['ju'],,"['N', 'i']",['vo'],"['oktob', 'r']"
abonman,"['ć', 'ce']",['io'],['stima'],"['š', 'ku']","['a', 'a']",[''],['čađu'],['Li'],['lom'],['ko'],"['v', 'a']",['Lu'],['neuralgij']
abortus,"['et', 'a']",['mo'],['Lama'],['Lu'],['će'],,"['š', 'cima']","['j', 'a']",['bom'],['A'],['oci'],['ce'],['krkanlu']
abrazija,"['et', 'a']",['stAk'],['lovima'],"['t', 'ku']",['ci'],['ve'],['govima'],['ške'],['eri'],['t'],['le'],['ine'],"['aforiz', 'm']"
abrevijacija,"['n', 'a']",['d'],['škama'],['Lu'],"['oc', 'a']","['n', 'a']",['škama'],['sli'],['vom'],['Ao'],"['s', 'kovi']",['sti'],['ushit']
acetat,"['l', 'ke']",['bu'],['mama'],"['l', 'ku']","['hov', 'a']",['eri'],['kima'],"['c', 'a']",['ju'],['ma'],['sli'],['tko'],['lest']
aceton,['čad'],['e'],['čevima'],"['s', 'ku']","['sak', 'a']","['v', 'a']",['ađu'],['li'],"['k', 'cem']",['sAo'],['adi'],['ne'],['amortizacij']
