,ACC.PL,ACC.SG,DAT.PL,DAT.SG,GEN.PL,GEN.SG,INS.PL,NOM.PL,INS.SG,NOM.SG,VOC.PL,VOC.SG,STEM
DainizAm,['e'],['u'],['ama'],['cu'],,['e'],['ima'],['ci'],['om'],[''],['e'],['če'],['sultanat']
Dak,['e'],['u'],['ama'],['u'],['a'],['a'],['ama'],['e'],['jem'],['Ak'],['e'],['o'],['došLakiN']
Damija,['e'],"['z', 'a']",['ima'],['i'],['ama'],['i'],['kama'],['e'],['om'],['k'],['e'],['o'],['jahaN']
Danarika,['e'],['a'],['ama'],['mu'],['a'],['a'],['ama'],['zi'],['om'],['k'],,['o'],['susret']
Delat,['e'],[''],['ama'],['i'],['a'],['e'],['jima'],['e'],['om'],['a'],['e'],['u'],['fašni']
Dem,,['u'],['ama'],['i'],"['gov', 'a']",['e'],,['i'],['kom'],['a'],['e'],['e'],['zdel']
Demat,['e'],['u'],['ama'],['i'],"['a', 'a']",['e'],,['e'],['om'],['k'],['a'],['go'],"['pustiNašt', 'v']"
Demper,,['u'],,['i'],,['ha'],['sima'],['i'],['em'],[''],['a'],['o'],['štrand']
Denaza,['e'],['u'],,['ku'],['a'],['a'],['ima'],['e'],['om'],['a'],['e'],['sti'],"['mučeništ', 'v']"
Dentlmen,['e'],['A'],,['u'],"['ov', 'a']","['t', 'ka']",['ama'],['i'],['om'],['a'],,['i'],['daktilografkiN']
Dep,['e'],['u'],['ama'],['u'],['i'],['a'],['ama'],['i'],['kom'],['a'],['ji'],['o'],['avangard']
Devahir,['e'],['o'],['ovima'],['gu'],['ti'],['a'],['ama'],['e'],['om'],['a'],['si'],['e'],['zra']
Devajir,['e'],['u'],['ima'],['u'],['a'],['e'],['ima'],['e'],['em'],[''],['i'],['e'],['nepravd']
Dever,['e'],[''],['ima'],['u'],,['ka'],,['ve'],['kom'],[''],['e'],['ko'],['crk']
Dez,['ove'],['a'],['ima'],['i'],['a'],['he'],['ama'],['i'],['om'],['k'],,['u'],['nijans']
Dezva,['ke'],['ku'],['ima'],['i'],"['k', 'a']",['a'],['ama'],['i'],['om'],[''],['evi'],['o'],['instrukcij']
DiDa,['ce'],[''],['ima'],['i'],,['a'],['ama'],['i'],['em'],[''],['e'],['u'],['derne']
