Keys,Averages,ncomms_upper,ncomms_lower
0.1_0.0,1.0,1,4
0.2_0.1,0.9216326530612244,4,6
0.3_0.2,0.911044822088005,6,8
0.4_0.3,0.8746788145482968,8,6
0.5_0.4,0.9706221302257829,6,9
0.6_0.5,0.9364428830573905,9,10
0.7_0.6,0.877694817051637,10,9
0.8_0.7,0.8701038223372608,9,10
0.9_0.8,0.9309375099971297,10,12
1.0_0.9,0.9605289381046532,12,14
1.1_1.0,0.9348468469919723,14,12
1.2_1.1,0.8886868958149342,12,14
1.3_1.2,0.95965322711243,14,14
1.4_1.3,0.9750035324630572,14,18
1.5_1.4,0.9608938825463074,18,18
1.6_1.5,0.9515288196350394,18,19
1.7_1.6,0.9982909627463721,19,23
1.8_1.7,0.9005276518336547,23,21
1.9_1.8,0.8642598517892089,21,22
2.0_1.9,0.9364054473312603,22,21
