Keys,Averages,ncomms_upper,ncomms_lower,language,data_type,singlepart
0.1_0.0,1.0000000,1,1,bcms,real,1
0.2_0.1,1.0000000,1,1,bcms,real,1
0.3_0.2,1.0000000,1,1,bcms,real,1
0.4_0.3,1.0000000,1,1,bcms,real,1
0.5_0.4,1.0000000,3,1,bcms,real,1
0.6_0.5,1.0000000,3,3,bcms,real,0
0.7_0.6,1.0000000,3,3,bcms,real,0
0.8_0.7,0.9700000,4,3,bcms,real,0
0.9_0.8,0.9300000,4,4,bcms,real,0
1.0_0.9,0.8400000,4,4,bcms,real,0
1.1_1.0,0.9600000,5,4,bcms,real,0
1.2_1.1,0.9400000,6,5,bcms,real,0
1.3_1.2,0.9600000,11,6,bcms,real,0
1.4_1.3,0.9100000,17,11,bcms,real,0
1.5_1.4,0.9100000,43,17,bcms,real,0
1.6_1.5,0.8100000,118,43,bcms,real,0
1.7_1.6,0.8400000,190,118,bcms,real,0
1.8_1.7,0.6900000,226,190,bcms,real,0
1.9_1.8,0.7700000,264,226,bcms,real,0
2.0_1.9,0.8000000,300,264,bcms,real,0
