Keys,Averages,ncomms_upper,ncomms_lower
0.1_0.0,1.0,1,1
0.2_0.1,1.0,1,1
0.3_0.2,1.0,1,1
0.4_0.3,1.0,1,1
0.5_0.4,1.0,1,1
0.6_0.5,1.0,1,3
0.7_0.6,1.0,3,7
0.8_0.7,0.9981637497151334,7,6
0.9_0.8,0.46457224970778677,6,13
1.0_0.9,0.36137244386991396,13,23
1.1_1.0,0.3808948779007891,23,32
1.2_1.1,0.37146002412496565,32,42
1.3_1.2,0.41226941004699996,42,50
1.4_1.3,0.4225582953413626,50,54
1.5_1.4,0.39797737400526345,54,61
1.6_1.5,0.5254732013107479,61,71
1.7_1.6,0.5600529202875801,71,81
1.8_1.7,0.5743896215930182,81,87
1.9_1.8,0.6002668179203777,87,92
2.0_1.9,0.620451851960772,92,100
