,ACC.PL,ACC.SG,DAT.PL,DAT.SG,GEN.PL,GEN.SG,INS.PL,NOM.PL,INS.SG,NOM.SG,VOC.PL,VOC.SG,STEM
DainizAm,['me'],[''],['zovima'],['mi'],"['lak', 'a']",['ga'],['vama'],['ri'],['škom'],['zAc'],"['j', 'a']",['a'],['imunost']
Dak,['i'],['sAc'],['vima'],['inu'],"['zov', 'a']",['la'],"['s', 'cima']",['ji'],"['k', 'cem']",['tAc'],['zi'],"['a', 'če']",['oposum']
Damija,['kove'],"['h', 'a']","['mi', 'a']",['inu'],['a'],['ta'],['stima'],"['n', 'ovi']",['ma'],['A'],"['N', 'i']",,['plauzibilnost']
Danarika,['iće'],"['k', 'c', 'a']",['Lima'],['ku'],['čadi'],['ca'],['kovima'],['dci'],"['p', 'om']",['h'],,['mo'],['gram']
Delat,['ške'],['ta'],['šima'],['tu'],['gu'],"['a', 'ka']",['vima'],['šci'],"['p', 'em']",['a'],['be'],"['kč', 'e']",['bezbojnost']
Dem,"['c', 'a']","['s', 'k']",['stima'],"['t', 'ku']","['sac', 'a']",['sti'],['hama'],['ići'],['tkom'],['vo'],['ke'],['ho'],"['žez', 'l']"
Demat,['eve'],['io'],"['š', 'cima']","['š', 'cu']","['h', 'a']",['eri'],['hama'],"['s', 'kovi']",['šLu'],['s'],['govi'],['me'],['radiologij']
Demper,['ce'],['Ak'],['sima'],['inu'],"['zak', 'a']",['ri'],['dima'],['Li'],['inom'],"['tk', 'a']",,['ju'],['sis']
Denaza,['iće'],['vo'],['lima'],['ma'],['ti'],['la'],['vima'],['zi'],['eri'],['stAk'],['ši'],"['lč', 'e']",['oftalmolo']
Dentlmen,['a'],['Ac'],"['š', 'cima']",['ome'],"['tac', 'a']","['L', 'a']","['p', 'cima']","['v', 'a']",['ću'],['k'],['ga'],['sti'],['trN']
Dep,"['d', 'ke']",['e'],['rima'],['ku'],,['ri'],['sima'],['jeli'],['škom'],"['šk', 'a']","['k', 'ci']",['ne'],['zaposleni']
Devahir,['iće'],['a'],['Ludima'],['eri'],"['tac', 'a']",['a'],"['a', 'cima']",['sti'],"['l', 'kom']",['žAc'],['me'],"['lč', 'e']",['graditeL']
Devajir,['ri'],"['l', 'a']",['zovima'],['etu'],['ga'],"['k', 'ca']",['ma'],['tke'],"['zo', 'm']",['va'],['he'],"['kč', 'e']",['odbojnost']
Dever,['be'],['ne'],['kima'],['hu'],"['N', 'a']","['n', 'a']","['a', 'ima']",['be'],['cetom'],['sAc'],['he'],['a'],['glodač']
Dez,['ge'],['u'],['ima'],"['a', 'ku']","['j', 'a']",['a'],"['lci', 'ma']",['he'],"['ć', 'cem']",['t'],['šci'],['ne'],['srpstv']
Dezva,['čad'],"['v', 'a']",['Lima'],['mi'],"['L', 'a']",['ma'],"['lci', 'ma']",['ke'],['jom'],['ga'],['govi'],['o'],['patrijaršij']
DiDa,['ti'],"['A', 'm']",['Lama'],['mu'],"['n', 'a']",['ške'],['rima'],['sti'],"['p', 'om']",['io'],['ga'],['Lu'],['majmunče']
Dihad,['ke'],[''],"['dci', 'ma']",['zu'],"['gac', 'a']",['a'],"['jeli', 'ma']",['a'],['com'],['A'],"['p', 'i']",['vo'],['upit']
DinizAm,['kove'],"['s', 'c', 'a']",['ći'],"['N', 'u']","['gac', 'a']","['o', 'ka']","['N', 'ima']",['jeli'],['u'],['d'],"['p', 'a']",['e'],['uzro']
Dip,['ge'],['h'],['bama'],['vu'],"['s', 'a']",['ma'],"['lci', 'ma']",['ovi'],['vom'],['ko'],"['v', 'a']",['eri'],['vol']
Doging,['le'],['k'],['ima'],['oj'],['sli'],"['L', 'a']",['em'],['si'],['Lom'],['lAc'],"['p', 'ci']","['t', 'ku']",['dn']
Doint,['eve'],['šku'],['hovima'],['li'],"['al', 'a']",['čoveka'],['čađu'],['oci'],"['s', 'kom']",['st'],['adi'],['Lo'],['metastaz']
Dokej,['di'],['je'],"['zi', 'ma']","['t', 'ku']",['gu'],['ri'],"['a', 'cima']",['be'],['mom'],"['L', 'a']",,['čoveče'],['riž']
Dukela,['zove'],['vu'],"['p', 'ima']",['bi'],"['zac', 'a']",['ške'],['šima'],['li'],['gom'],"['p', 'e']","['k', 'ci']","['a', 'če']",['pržun']
Dungla,['kove'],['d'],"['š', 'cima']",['ome'],"['gac', 'a']","['s', 'ka']",['zovima'],['hovi'],['u'],['zAc'],"['ć', 'ci']",['eri'],['štiglić']
Laga,"['p', 'e']",['o'],['ma'],['mu'],['u'],['me'],"['jeli', 'ma']",['si'],"['a', 'om']",['d'],['ši'],['čoveče'],['plankton']
LetovaNe,['hove'],"['s', 'k']",['hama'],['u'],['ga'],['i'],['jama'],"['v', 'a']",['li'],['st'],['ki'],['Lu'],['svetlo']
Levak,"['s', 'kove']","['N', 'a']",['tkama'],['ocu'],[''],['ma'],['stima'],['zi'],"['p', 'om']",['žAc'],['Li'],['ko'],['krhotin']
LiLan,['eri'],"['š', 'c', 'a']",['dima'],['eri'],"['ev', 'a']",['ga'],['sima'],['ši'],"['č', 'em']",['čovek'],['jeli'],['e'],['svadLiv']
