,ACC.PL,ACC.SG,DAT.PL,DAT.SG,GEN.PL,GEN.SG,INS.PL,NOM.PL,INS.SG,NOM.SG,VOC.PL,VOC.SG,STEM
DainizAm,['e'],[''],,['i'],"['ov', 'a']",['ca'],['ima'],['sti'],['om'],[''],['e'],['e'],['roštiL']
Dak,['e'],['e'],['ovima'],['ku'],['a'],['a'],['cima'],['tke'],['om'],['a'],['ci'],['o'],['imunitet']
Damija,,['u'],['ima'],['u'],['a'],['e'],['ama'],['evi'],['om'],[''],['ci'],['e'],"['raž', 'N']"
Danarika,['e'],['a'],['ama'],['u'],['a'],['e'],['ima'],['i'],['om'],[''],['i'],['u'],['hohštapler']
Delat,['e'],['u'],['ama'],['u'],['daka'],['e'],['ima'],['i'],['om'],[''],['ge'],['e'],['problem']
Dem,['e'],['u'],['ama'],['u'],['a'],['a'],['ama'],['zi'],['om'],['k'],['i'],['če'],['partikul']
Demat,['e'],['u'],['ama'],['u'],['sti'],['a'],['ima'],['ovi'],['om'],[''],['sti'],['e'],['kolin']
Demper,,[''],['ima'],['i'],"['ev', 'a']",['i'],"['s', 'cima']",['i'],['om'],[''],['i'],['če'],['obojic']
Denaza,['ge'],['u'],['ama'],['i'],['a'],['a'],['ama'],,['om'],[''],['e'],['ko'],['krcatost']
Dentlmen,['ke'],['st'],['ima'],['i'],"['ov', 'a']",['a'],['ama'],['zi'],['kom'],[''],['i'],['o'],['reptil']
Dep,['ke'],['u'],['cima'],['mu'],['a'],['a'],['ima'],['e'],['om'],[''],,['hu'],['kitolov']
Devahir,['e'],[''],['ama'],['i'],['a'],['a'],"['zi', 'ma']",['e'],['em'],['A'],['a'],['ko'],['kanabis']
Devajir,['sti'],['o'],['cima'],['ci'],['a'],['i'],['ama'],['i'],['em'],['k'],['e'],['e'],['lav']
Dever,['e'],['u'],['ima'],['i'],['a'],['e'],['ovima'],['i'],['om'],['A'],['e'],['i'],"['stanovništ', 'v']"
Dez,,['h'],['ima'],['u'],,['a'],['ama'],['ge'],['om'],['a'],,['o'],['čip']
Dezva,['e'],['u'],['ima'],['u'],['a'],['e'],,['i'],['kom'],[''],['ci'],['e'],['lovopaziteL']
DiDa,['e'],['u'],['ama'],['ku'],['a'],['e'],,['e'],['om'],['a'],['adi'],['i'],['sadašNic']
Dihad,['e'],['u'],"['mi', 'a']",['i'],['sti'],['a'],['ama'],['kovi'],['om'],[''],['ci'],['u'],['sedmin']
DinizAm,['e'],['o'],['ima'],['u'],['a'],['e'],['ima'],,['om'],['a'],['i'],['e'],['bučic']
Dip,['e'],['u'],['ima'],['u'],['a'],['a'],['ama'],['e'],['šću'],['k'],['ci'],['o'],['lud']
Doging,['e'],['a'],['ama'],['ku'],['a'],['a'],"['zi', 'ma']",['i'],['gom'],['a'],['i'],['o'],['lešinar']
Doint,['ke'],['a'],['kama'],['u'],"['ac', 'a']",['i'],['ama'],['e'],['om'],[''],['i'],['ine'],['meštan']
Dokej,['e'],['k'],['ima'],['u'],['sti'],['e'],"['zi', 'ma']",,['om'],['a'],['e'],['e'],"['jedinst', 'v']"
Dukela,['e'],['a'],['ama'],['i'],['a'],['a'],['ovima'],['i'],['i'],[''],['e'],['o'],['detektor']
Dungla,"['s', 'ke']",['a'],['ama'],['i'],"['a', 'a']",['e'],['ima'],,['om'],['e'],['i'],['u'],['nastavLač']
Laga,,['a'],['ama'],['u'],['a'],['ga'],['ima'],['e'],['om'],['e'],['e'],['če'],['dekagram']
LetovaNe,['ove'],['u'],['cima'],['u'],['a'],['e'],['ama'],['e'],['om'],['a'],['i'],['u'],['nudiz']
Levak,['e'],[''],['ima'],['i'],['a'],['a'],['ama'],['e'],['kom'],['ćAc'],,['če'],['hran']
LiLan,,[''],['ama'],['gu'],['a'],['e'],['ima'],['i'],['em'],['ka'],['ci'],['e'],['telešc']
Lubav,['ke'],['u'],['cima'],['u'],['a'],['e'],['ama'],['e'],['kom'],['ga'],['zi'],['o'],['bacil']
Lubavnica,['a'],['tAc'],['ima'],['i'],['a'],['ke'],['ima'],['e'],['kom'],[''],['i'],['o'],['fotomontaž']
Lubavnik,['e'],['sAk'],['ima'],['u'],['a'],['e'],['ama'],['ci'],['om'],['a'],['ti'],['u'],['beatifikacij']
Lubaznica,,[''],['kama'],['i'],['i'],['a'],,['i'],['kom'],[''],,['če'],['ofenzivnost']
Lubaznik,['e'],['u'],['cima'],['u'],['a'],['i'],['ama'],['e'],['om'],['ka'],,['o'],"['libertarijaniz', 'm']"
Lubica,['e'],['u'],['ama'],['hu'],,['e'],['ima'],['e'],['mo'],[''],,['o'],['drvL']
LubimAc,['e'],"['k', 'a']",['ima'],['i'],"['k', 'a']",['e'],['ama'],['i'],['om'],['Ac'],['e'],[''],['bojni']
LubiteL,['i'],"['s', 'c', 'a']",,['u'],['a'],['e'],['ima'],['ci'],['om'],[''],['zi'],['e'],['ste']
LubiteLica,['e'],['a'],['ama'],['u'],"['k', 'a']",['ka'],['ama'],['ovi'],['om'],['a'],,['če'],['svodni']
Lubičica,['kove'],"['c', 'a']",['ima'],['i'],['a'],['a'],['ima'],['šci'],['om'],[''],['i'],['o'],['ribic']
Ludeskara,['e'],['Ak'],['ama'],['ocu'],['a'],['ka'],['ama'],['ke'],['om'],['st'],['ci'],['e'],['područj']
Ludina,['e'],['u'],['ima'],['i'],['a'],['e'],['ama'],['i'],['om'],[''],['i'],['o'],['solsticij']
Ludožder,['e'],['k'],['ima'],['ku'],['a'],['a'],['cima'],['e'],['om'],['h'],['i'],['e'],['krabLic']
Ludstvo,,['u'],['ima'],['i'],['a'],['ka'],['ama'],['e'],['mo'],['o'],['ci'],['o'],['zabavišt']
LutNa,['ke'],['u'],,['u'],['a'],['a'],,['ci'],['šću'],['e'],,['ku'],['analizator']
Luštura,['ke'],['u'],['ama'],['ku'],['i'],['e'],['ama'],['a'],['om'],[''],['ci'],['če'],['reDeb']
Nihalo,,['u'],['ama'],['u'],['a'],['e'],['stima'],['i'],['om'],[''],['evi'],['u'],['toksikologij']
Niva,,['u'],['ima'],['ku'],['a'],,['ima'],,['om'],[''],['i'],['e'],['neutrin']
NurgavAc,,['u'],['cima'],['i'],,['a'],['ima'],['a'],['cem'],['Ac'],['i'],['če'],['pogodnost']
