,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abaisser,"['iz', 'ɔ̃']","['z', 'ɔ̃']",['je'],"['t', 'jɔ̃']",['əʁE'],"['wE', 'aj', 'aj']",['jat'],['uly'],['alysje'],['Eʁʁje'],['miʁE'],['ʁis'],"['uv', 'ʁɔ̃']","['jɛ̃d', 'ʁa']",['ɛ̃s'],['al'],['ua'],['jɛʁ'],['izjɔ̃'],['aly'],"['O', 'sE']","['ø', 'E']","['p', 'iʁ']",['ɛn'],['ɑ̃'],"['o', 'E']","['Eɲ', 'i']","['Eʁ', 'ʁɔ̃']",['tiʁE'],"['ʁ', 'e']","['ɔ', 'əʁa']","['o', 'je']",['i'],['zE'],['ʁiʁ'],['ʁ'],"['o', 'e']","['ʁj', 'ɔ̃']",['alysjɔ̃'],"['əv', 'ʁE']","['iz', 'e']",['Etim'],['je'],['aɲe'],['z'],"['e', 'ɑ̃']","['Et', 'e']","['Ø', 'is']",['watʁE'],['i'],['ɔlv'],"['fʁ', 'n']"
abandonner,"['ɔlv', 'ɔ̃']","['t', 'ɔ̃']",['E'],['nan'],"['əi', 'əiʁE']",['ɛɲ'],['ɛ̃t'],['nan'],['misje'],['Odʁije'],"['ɛ̃d', 'ʁE']",['Olys'],"['Etʁ', 'ɔ̃']",['watʁa'],['s'],"['wE', 'aj', 'aj']",['mi'],"['ɔ', 'ʁ']","['Es', 'jɔ̃']","['aɲ', 'i']","['o', 'E']",['EsE'],['ʁ'],['œv'],['ɔ'],"['v', 'E']","['k', 'i']","['miʁ', 'ɔ̃']","['i', 'ʁE']","['dʁ', 'e']",['Eʁʁa'],"['v', 'je']",['s'],"['Eɲ', 'E']",['Etiʁ'],['aly'],['ji'],['viʁjɔ̃'],"['s', 'jɔ̃']",['oʁE'],['nan'],['nan'],"['Øv', 'e']","['ij', 'ije', 'je']","['ə', 'e']",['Ejɑ̃'],"['ɥ', 'e']",['ɛ̃s'],"['Odʁ', 'E']",['i'],['d'],"['adisj', 'n']"
abasourdir,"['O', 'ɔ̃']","['u', 'ɔ̃']","['wa', 'jE']","['ə', 'n', 'jɔ̃']",['miʁE'],['oz'],"['d', 'it']",['Eɲi'],['isje'],"['E', 'əʁje']",['yəʁE'],['lys'],"['E', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['ə', 'as']",['y'],[''],"['v', 'a']","['e', 'jɔ̃']","['Eɲ', 'i']",['avE'],['nan'],['miʁ'],['ɛt'],['œ'],['EɲE'],['wa'],"['waE', 'waEʁ', 'ɔ̃']","['wj', 'wjEa', 'Eaʁ', 'E']","['dʁ', 'e']",['Eʁa'],"['Et', 'je']","['ɔ', 'ʁ']","['O', 'ʁE']","['al', 'e']",['z'],['o'],"['uvʁij', 'ɔ̃']","['ə', 'asjɔ̃']",['jiʁE'],"['ɥ', 'e']","['k', 'im']","['u', 'e']","['Øvj', 'e']","['al', 'e']",['pɑ̃'],[''],"['aɲ', 'is']","['od', 'ʁE']",['ɔ'],['wa'],['faktyʁ']
abattre,"['wEa', 'Ea', 'jɔ̃']","['Øv', 'ɔ̃']",['nan'],"['u', 'jɔ̃']","['waE', 'waEʁE']",['j'],['jit'],['fy'],['Eɲisje'],['jiʁje'],"['Ø', 'əʁE']",['ʁis'],"['tʁ', 'ɔ̃']",['ɛ̃dʁa'],"['u', 'ys']",['p'],"['u', 'y']",['ɔ'],"['o', 'jɔ̃']","['O', 'ʁi']","['ɔlv', 'E']",['lE'],['miʁ'],['t'],"['ɔ', 'ʁ']",['əzE'],['ɛ̃'],"['waE', 'waEʁ', 'ɔ̃']","['əv', 'ʁE']","['əv', 'ʁe']",['tiʁa'],"['j', 'e']",['ɛ'],"['k', 'E']",['jiʁ'],"['O', 'ʁ']",['je'],['əʁjɔ̃'],"['t', 'isjɔ̃']","['E', 'əʁE']","['E', 'je']","['d', 'im']","['iv', 'e']","['uvj', 'e']",['ti'],['ivɑ̃'],"['v', 'i']","['ø', 'as']","['Odʁ', 'E']",['wav'],"['waE', 'j']","['dEt', 'n']"
abdiquer,"['al', 'ɔ̃']","['ə', 'ɔ̃']",['ɑ̃'],"['Eɲ', 'ɔ̃']",['dʁE'],['j'],['Olyt'],"['O', 'ʁi']",['zisje'],['viʁje'],"['Odʁ', 'E']","['o', 'as']","['Øv', 'ʁɔ̃']",['Etʁa'],['Eɲis'],['œ'],"['e', 'a']",['i'],"['z', 'j', 'ɔ̃']","['w', 'E']","['e', 'E']",['EjE'],"['Ø', 'Eʁ']",['iv'],['u'],['alE'],['zi'],"['u', 'ʁ', 'ɔ̃']",['əvʁE'],"['ud', 'ʁe']",['iʁa'],"['Ø', 'je']",['je'],"['Eʁ', 'E']",['Øvwaʁ'],['ʁ'],"['wa', 'je']","['dʁi', 'jɔ̃']",['Eɲisjɔ̃'],"['E', 'əʁE']",['ze'],"['v', 'im']",['aɲe'],"['Et', 'je']","['al', 'e']",['kɑ̃'],['ji'],"['Ø', 'is']",['vʁE'],['v'],['v'],['lapid']
abhorrer,"['Et', 'ɔ̃']","['al', 'ɔ̃']",['wa'],['zjɔ̃'],"['waʁ', 'E']","['œ', 'j']",['Eɲit'],"['ø', 'a']","['Ekys', 'je']",['waʁje'],"['waʁ', 'E']","['t', 'is']","['u', 'ʁ', 'ɔ̃']","['u', 'ʁa']",['Ekys'],['l'],"['Ø', 'a']",['ɥis'],"['O', 'ʁi', 'jɔ̃']",['uly'],"['əv', 'E']","['m', 'E']",['iʁ'],['v'],['nan'],"['e', 'E', 'E']","['d', 'i']","['iʁ', 'ɔ̃']",['waʁE'],"['əi', 'əiʁ', 'e']","['Ø', 'əʁa']",['əzje'],['o'],"['waE', 'jE']",['miʁ'],['ɛ'],"['ɥ', 'e']",['watʁijɔ̃'],['nan'],"['Odʁ', 'E']","['ɥisj', 'e']",['ym'],"['j', 'e']","['ən', 'je']","['w', 'e']",['Ezɑ̃'],['je'],"['o', 'as']",['udʁE'],['ɛɲ'],['jɛn'],['ʁEkʁi']
abjurer,"['aɲ', 'ɔ̃']","['u', 'ɔ̃']",['o'],"['was', 'jɔ̃']",['nan'],"['ɔ', 'ʁ']",['it'],['Eɲi'],['lysje'],"['œ', 'əʁje']","['y', 'ʁE']","['Ø', 'is']","['miʁ', 'ɔ̃']",['Eʁʁa'],"['t', 'is']",['ɔlv'],"['d', 'i']",['o'],"['ən', 'jɔ̃']",['jE'],"['E', 'jE']","['ə', 'n', 'E']","['aki', 'ʁ']","['s', 'ɔ̃']",['je'],['əzE'],"['ə', 'a']","['Eʁ', 'ɔ̃']",['əʁE'],"['Ø', 'əʁ', 'e']","['e', 'E', 'əʁa']","['z', 'je']",['i'],"['ə', 'n', 'E']",['ɛ̃dʁ'],"['j', 'e']",['vi'],"['dʁi', 'jɔ̃']",['jisjɔ̃'],"['Ø', 'əʁE']","['z', 'e']","['aɲ', 'im']","['wEa', 'Ea', 'je']","['j', 'e']",['mi'],"['u', 'ɑ̃']",['uly'],['Etis'],"['jɛ̃d', 'ʁE']",['k'],['m'],['dEkʁisp']
abolir,"['ə', 'n', 'ɔ̃']",['nan'],"['E', 'ɛ']","['Øv', 'jɔ̃']","['Odʁ', 'E']",['ɛn'],"['Ø', 'at']","['wa', 'ja']","['O', 'ʁisje']",['Eʁʁje'],['jɛ̃dʁE'],['lys'],"['Ø', 'əʁ', 'ɔ̃']",['viʁa'],"['is', 'v']",['wa'],"['e', 'E', 'a']",['E'],"['iv', 'jɔ̃']","['i', 'v']",['uE'],"['Eʁ', 'E']",['jiʁ'],['ɛ'],['wa'],"['Eɲ', 'E']",['aki'],"['watʁ', 'ɔ̃']","['Eʁ', 'ʁE']","['ivʁ', 'e']","['əi', 'əiʁa']","['o', 'je']",['u'],['avE'],['e'],"['j', 'e']",['y'],['jiʁjɔ̃'],"['isjɔ̃', 'v']","['Odʁ', 'E']","['aʃ', 'e']","['d', 'im']","['ɥ', 'e']","['al', 'je']","['ə', 'e']","['E', 'ɑ̃']",['ʁt'],"['O', 'as']",['jɛ̃dʁE'],['nan'],['œ'],['pʁOtɛst']
abominer,"['wEa', 'Ea', 'jɔ̃']","['z', 'ɔ̃']","['ɥiø', 'ɥiø']","['aɲ', 'ɔ̃']","['E', 'əʁE']",['iv'],['yt'],"['d', 'i']",['ɥasje'],"['kʁi', 'je']","['waE', 'waEʁE']","['d', 'is']","['oʁ', 'ɔ̃']",['tiʁa'],['ulys'],['œv'],"['p', 'i']","['sw', 'a']","['e', 'E', 'ɔ̃']","['al', 'E']","['O', 'E']","['p', 'E']","['iʁ', 'v']",['wa'],['ɛ'],['avE'],['aly'],"['Odʁ', 'ɔ̃']",['watʁE'],"['i', 'ʁ', 'e']","['e', 'E', 'əʁa']","['uvj', 'e']",['jɛʁ'],"['Eɲ', 'E']","['Ø', 'iʁ']",['mi'],['e'],"['ʁj', 'ɔ̃']","['Ø', 'asjɔ̃']","['Eʁ', 'E']","['Ez', 'e']","['im', 'v']","['ɔlv', 'e']","['ul', 'je']",['y'],['ɔlvɑ̃'],"['al', 'e']",['jas'],"['O', 'ʁiʁE']",['aʃ'],['z'],['blɔ̃di']
abonder,"['Ø', 'ɔ̃']","['əz', 'ɔ̃']",['ø'],"['iv', 'jɔ̃']",['EʁE'],['k'],"['tz', 'tzizit']","['i', 'v']","['s', 'je']","['i', 'ʁje']","['ɛ', 'əʁE']","['t', 'is']","['watʁ', 'ɔ̃']",['Odʁa'],"['t', 'is']",['l'],['zizi'],['je'],"['ə', 'n', 'jɔ̃']","['Eɲ', 'i']","['Es', 'E']","['v', 'E']","['e', 'Eʁ']",['ø'],"['Ew', 'Ewa']","['k', 'E']","['k', 'i']","['aʁ', 'ɔ̃']","['ɔ', 'əʁE']",['kʁe'],['əʁa'],"['l', 'je']",[''],"['uv', 'E']","['ə', 'niʁ']",['ɛ'],"['ɥ', 'e']","['e', 'E', 'əʁjɔ̃']","['d', 'isjɔ̃']","['ɛ̃d', 'ʁE']","['p', 'e']","['Ø', 'im']",['ale'],"['z', 'je']",['iz'],"['e', 'E', 'ɑ̃']",['p'],['tis'],['udʁE'],['was'],['jɛʁ'],['ʁɑ̃tam']
