,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abaisser,['ɔ̃'],['ɔ̃'],[''],"['O', 'jɔ̃']",['əʁE'],['ɔ'],['at'],['a'],['asje'],"['ɔ', 'əʁje']",['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['jas'],['ɛ'],['zi'],[''],"['o', 'jɔ̃']",['E'],['jE'],['E'],['Eʁ'],[''],[''],['ɥE'],"['O', 'a']","['dʁ', 'ɔ̃']",['əʁE'],"['ɛ̃d', 'ʁ', 'e']",['əʁa'],"['O', 'e']",[''],['E'],['e'],"['O', 'e']",['e'],"['dʁi', 'jɔ̃']",['asjɔ̃'],"['ɔ', 'əʁE']","['ə', 'e']",['zim'],"['s', 'e']",['je'],"['O', 'e']",['ɑ̃'],['e'],['as'],['ʁE'],['i'],[''],"['ɛsp', 'ʁ']"
abandonner,['jɔ̃'],"['ə', 'ɔ̃']",[''],['jɔ̃'],['əʁE'],[''],['t'],['a'],['asje'],"['ɛ̃dʁi', 'je']","['ɔ', 'əʁE']",['as'],"['əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɛ'],['a'],[''],['sjɔ̃'],['E'],"['əv', 'E']",['E'],"['E', 'Eʁ']",['wa'],['ɔ'],['E'],['a'],"['əʁ', 'ɔ̃']",['ʁiʁE'],"['ɔ', 'əʁ', 'e']",['əʁa'],['sje'],['ɛ'],['wE'],"['E', 'e']",['e'],['e'],"['ɔ', 'əʁjɔ̃']",['asjɔ̃'],"['ɔ', 'əʁE']",['e'],['am'],"['O', 'e']",['sje'],['e'],['wasɑ̃'],['je'],['as'],['əʁE'],[''],['ɛ'],"['fas', 'n']"
abasourdir,['ɔ̃'],"['E', 'ɔ̃']",[''],['jɔ̃'],['əʁE'],[''],['at'],"['O', 'a']",['tisje'],"['ɔ', 'əʁje']",['əʁE'],['jas'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],"['ə', 'jɔ̃']",['E'],['E'],['sE'],['Eʁ'],[''],['ɔ'],['E'],"['O', 'a']","['əʁ', 'ɔ̃']","['ɛ', 'əʁE']","['əʁ', 'e']",['əʁa'],"['y', 'je']",[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],"['s', 'e']",['am'],['je'],"['o', 'je']",['e'],['ɑ̃'],['e'],['as'],"['ɔ', 'əʁE']",[''],[''],"['b', 'l']"
abattre,['ɥɔ̃'],['ɔ̃'],[''],['sjɔ̃'],['ʁE'],['s'],['t'],"['O', 'a']",['asje'],['əʁje'],['əʁE'],['was'],"['u', 'ʁ', 'ɔ̃']","['iʁ', 'a']",['s'],['wav'],"['O', 'a']",[''],['jɔ̃'],['E'],['E'],"['O', 'E']",['Eʁ'],[''],[''],['E'],"['d', 'i']","['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']","['ɔ', 'əʁa']",['sje'],[''],"['E', 'E']",['ʁ'],['e'],['e'],"['y', 'ʁjɔ̃']","['O', 'asjɔ̃']",['iʁE'],['e'],['am'],"['E', 'je']",['je'],"['O', 'e']",['ɑ̃'],"['O', 'e']",['as'],['dʁE'],['d'],['s'],"['apɑ̃', 'y']"
abdiquer,['ɔ̃'],['ɔ̃'],['ɔ'],"['O', 'jɔ̃']",['əʁE'],[''],"['E', 'at']","['O', 'a']",['asje'],"['y', 'ʁje']","['ɔ', 'əʁE']",['as'],"['əʁ', 'ɔ̃']","['ɛ', 'əʁa']",['as'],[''],['a'],['ɛ'],['jɔ̃'],"['E', 'E']",['E'],"['Ø', 'E']",['Eʁ'],['z'],['ɛ'],"['O', 'E']",[''],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],['ɛ'],['E'],"['ə', 'n', 'iʁ']","['O', 'e']",['e'],['əʁjɔ̃'],['jasjɔ̃'],"['ɔ', 'əʁE']",['e'],['am'],"['s', 'e']","['i', 'je']",['je'],"['E', 'ɑ̃']",['e'],"['O', 'as']","['iʁ', 'E']",['ɔ'],"['a', 'j']",['dEkʁEdibiliz']
abhorrer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['ʁE'],[''],['it'],['a'],"['jas', 'je']",['əʁje'],['əʁE'],['as'],"['ʁ', 'ɔ̃']",['dʁa'],"['ə', 'as']",[''],"['aɲ', 'i']",[''],"['i', 'jɔ̃']","['O', 'E']","['ə', 'E']",['E'],['Eʁ'],['ɛ'],['ɛ'],['E'],"['ə', 'a']","['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']","['ɛ', 'əʁa']",['je'],[''],"['E', 'jE']",['je'],"['O', 'e']",['e'],['ʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],"['O', 'am']",['e'],['je'],"['E', 'e']","['O', 'ɑ̃']",['e'],"['O', 'as']",['əʁE'],[''],[''],['pEtaʁad']
abjurer,"['O', 'ɔ̃']","['s', 'ɔ̃']",[''],['jɔ̃'],"['ɛ', 'əʁE']",[''],"['O', 'at']","['O', 'a']",['asje'],"['ɛ', 'əʁje']",['əʁE'],['jas'],"['ɛ', 'əʁ', 'ɔ̃']",['ʁa'],['as'],[''],['a'],[''],['jɔ̃'],"['o', 'E']",['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['ʁ', 'ɔ̃']",['əʁE'],"['ɛ', 'əʁ', 'e']","['ɛ', 'əʁa']",['je'],[''],"['ɥ', 'E']",['e'],['e'],"['Ø', 'e']",['əʁjɔ̃'],"['O', 'asjɔ̃']",['əʁE'],['e'],"['O', 'am']",['e'],['je'],['e'],['ɑ̃'],"['O', 'e']",['as'],['ʁE'],['ɔlv'],['ɛ'],['aʁOmatiz']
abolir,"['z', 'ɔ̃']","['s', 'ɔ̃']",[''],"['O', 'jɔ̃']",['nan'],['i'],['at'],"['O', 'a']","['is', 'je']","['ɛ', 'əʁje']","['ɔ', 'əʁE']",['as'],"['əʁ', 'ɔ̃']",['əʁa'],['jas'],[''],"['O', 'a']",[''],['jɔ̃'],['y'],['E'],"['O', 'E']","['O', 'Eʁ']",[''],['ɔ'],"['ə', 'E']",['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']","['ɛ', 'əʁa']",['je'],['ɔ'],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],"['O', 'e']","['O', 'am']",['e'],['je'],"['ə', 'e']",['ɑ̃'],"['E', 'e']",['as'],['ʁE'],['ɔ'],['ɛ'],['Epat']
abominer,"['əz', 'ɔ̃']","['d', 'ɔ̃']",[''],"['E', 'jɔ̃']",['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],"['ɛ', 'əʁE']",['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],"['i', 'jɔ̃']",[''],['E'],['sE'],['Eʁ'],['s'],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],"['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']",['əʁE'],['e'],['am'],"['z', 'e']",['je'],['e'],['ɑ̃'],"['O', 'e']",['ys'],['əʁE'],['ɛ'],['ɔ'],"['adisj', 'n']"
abonder,"['Eɲ', 'ɔ̃']",['ɔ̃'],['i'],"['E', 'jɔ̃']",['əʁE'],[''],"['E', 'at']","['E', 'a']",['asje'],"['y', 'ʁje']",['əʁE'],"['E', 'as']","['ɛ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['E', 'as']",[''],"['ə', 'a']",[''],"['O', 'jɔ̃']",['E'],['E'],['E'],['Eʁ'],['ɔ'],[''],['E'],['a'],"['əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']",['ʁa'],['je'],[''],['E'],['je'],[''],['e'],['ʁjɔ̃'],"['jas', 'jɔ̃']","['ɔ', 'əʁE']","['O', 'e']",['am'],['e'],['e'],['e'],"['O', 'ɑ̃']",['e'],['as'],['ʁE'],['ɔ'],[''],['ɛsbiɲ']
