Keys,Averages,ncomms_upper,ncomms_lower
0.0_0.1,1.0,1,1
0.1_0.2,1.0,1,1
0.2_0.3,1.0,1,1
0.3_0.4,1.0,1,1
0.4_0.5,1.0,1,1
0.5_0.6,1.0,1,1
0.6_0.7,1.0,1,2
0.7_0.8,0.9645332359899416,2,6
0.8_0.9,0.5360402968665796,6,16
0.9_1.0,0.1933548663895498,16,24
1.0_1.1,0.21289038620421258,24,35
1.1_1.2,0.20364624416859825,35,44
1.2_1.3,0.24714499796766212,44,53
1.3_1.4,0.2392652491042363,53,69
1.4_1.5,0.23964713423708675,69,72
1.5_1.6,0.2191027454411743,72,76
1.6_1.7,0.25976299600495323,76,87
1.7_1.8,0.2444575840914847,87,97
1.8_1.9,0.25735397019991396,97,110
1.9_2.0,0.24455145862636254,110,108
