Keys,Averages,ncomms_upper,ncomms_lower
0.0_0.1,1.0,1,1
0.1_0.2,1.0,1,1
0.2_0.3,1.0,1,1
0.3_0.4,1.0,1,1
0.4_0.5,1.0,1,1
0.5_0.6,1.0,1,3
0.6_0.7,1.0,3,7
0.7_0.8,0.9467070031982585,7,8
0.8_0.9,0.5365715981006745,8,12
0.9_1.0,0.3536212432661575,12,20
1.0_1.1,0.36682890108722344,20,33
1.1_1.2,0.3388289736051383,33,40
1.2_1.3,0.4462101090169767,40,48
1.3_1.4,0.4025244545027169,48,57
1.4_1.5,0.4629466941814268,57,64
1.5_1.6,0.48198914982317986,64,72
1.6_1.7,0.5133411796549421,72,72
1.7_1.8,0.5609937489409,72,83
1.8_1.9,0.5332429934821363,83,92
1.9_2.0,0.6219714133260035,92,94
