Keys,Averages,ncomms_upper,ncomms_lower
0.0_0.1,1.0,1,1
0.1_0.2,1.0,1,1
0.2_0.3,1.0,1,1
0.3_0.4,1.0,1,1
0.4_0.5,1.0,1,1
0.5_0.6,1.0,1,1
0.6_0.7,1.0,1,1
0.7_0.8,1.0,1,1
0.8_0.9,1.0,1,3
0.9_1.0,0.3830178949736243,3,14
1.0_1.1,0.10159024457253896,14,25
1.1_1.2,0.07143068924900556,25,45
1.2_1.3,0.04825081392632072,45,64
1.3_1.4,0.04327825372778301,64,77
1.4_1.5,0.0449346711655286,77,91
1.5_1.6,0.036137671592975505,91,105
1.6_1.7,0.03680613172414668,105,114
1.7_1.8,0.03740214729942793,114,117
1.8_1.9,0.036085819639700256,117,132
1.9_2.0,0.02802953399013213,132,145
