Keys,Averages,ncomms_upper,ncomms_lower,language,data_type,singlepart
0.1_0.0,1.0000000,1,4,french,real,1
0.2_0.1,1.0000000,4,5,french,real,0
0.3_0.2,1.0000000,5,7,french,real,0
0.4_0.3,1.0000000,7,7,french,real,0
0.5_0.4,1.0000000,7,9,french,real,0
0.6_0.5,1.0000000,9,9,french,real,0
0.7_0.6,1.0000000,9,8,french,real,0
0.8_0.7,1.0000000,8,9,french,real,0
0.9_0.8,1.0000000,9,9,french,real,0
1.0_0.9,0.9900000,9,10,french,real,0
1.1_1.0,0.9800000,10,18,french,real,0
1.2_1.1,0.9900000,18,28,french,real,0
1.3_1.2,0.9800000,28,24,french,real,0
1.4_1.3,0.9600000,24,36,french,real,0
1.5_1.4,0.9900000,36,60,french,real,0
1.6_1.5,0.9200000,60,363,french,real,0
1.7_1.6,0.5800000,363,639,french,real,0
1.8_1.7,0.1600000,639,852,french,real,0
1.9_1.8,0.1400000,852,1000,french,real,0
2.0_1.9,0.1700000,1000,1200,french,real,0
