Keys,Averages,ncomms_upper,ncomms_lower
0.0_0.1,1.0,1,1
0.1_0.2,1.0,1,1
0.2_0.3,1.0,1,1
0.3_0.4,1.0,1,1
0.4_0.5,1.0,1,1
0.5_0.6,1.0,1,1
0.6_0.7,1.0,1,1
0.7_0.8,1.0,1,1
0.8_0.9,1.0,1,3
0.9_1.0,0.7070218477276635,3,14
1.0_1.1,0.19250620359773288,14,52
1.1_1.2,0.15664437078468782,52,82
1.2_1.3,0.180423255849686,82,99
1.3_1.4,0.20303156791152285,99,111
1.4_1.5,0.2193732172129572,111,130
1.5_1.6,0.2283493418196378,130,144
1.6_1.7,0.2546079688600462,144,161
1.7_1.8,0.29755694121666687,161,174
1.8_1.9,0.27989415958040553,174,190
1.9_2.0,0.3019847274584083,190,205
