Keys,Averages,ncomms_upper,ncomms_lower
0.1_0.0,Every lexeme in its own community,5274,5274
0.2_0.1,Every lexeme in its own community,5274,5274
0.3_0.2,Every lexeme in its own community,5274,5274
0.4_0.3,Every lexeme in its own community,5274,5274
0.5_0.4,Every lexeme in its own community,5274,5274
0.6_0.5,Every lexeme in its own community,5274,5274
0.7_0.6,Every lexeme in its own community,5274,5274
0.8_0.7,Every lexeme in its own community,5274,5274
0.9_0.8,Every lexeme in its own community,5274,5274
1.0_0.9,Every lexeme in its own community,5274,5274
1.1_1.0,Every lexeme in its own community,5274,5274
1.2_1.1,Every lexeme in its own community,5274,5274
1.3_1.2,Every lexeme in its own community,5274,5274
1.4_1.3,Every lexeme in its own community,5274,5274
1.5_1.4,Every lexeme in its own community,5274,5274
1.6_1.5,Every lexeme in its own community,5274,5274
1.7_1.6,Every lexeme in its own community,5274,5274
1.8_1.7,Every lexeme in its own community,5274,5274
1.9_1.8,Every lexeme in its own community,5274,5274
2.0_1.9,Every lexeme in its own community,5274,5274
