,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abaisser,"['E', 'ɔ̃']","['E', 'ɔ̃']",['ɛ'],"['E', 'jɔ̃']","['ɛ', 'əʁE']",['ɛ'],"['E', 'at']","['E', 'a']","['E', 'asje']","['ɛ', 'əʁje']","['ɛ', 'əʁE']","['E', 'as']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁa']","['E', 'as']",['ɛ'],"['E', 'a']",['ɛ'],"['E', 'jɔ̃']","['E', 'E']","['E', 'E']","['E', 'E']","['E', 'Eʁ']",['ɛ'],['ɛ'],"['E', 'E']","['E', 'a']","['ɛ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁE']","['ɛ', 'əʁ', 'e']","['ɛ', 'əʁa']","['E', 'je']",['ɛ'],"['E', 'E']","['E', 'e']","['E', 'e']","['E', 'e']","['ɛ', 'əʁjɔ̃']","['E', 'asjɔ̃']","['ɛ', 'əʁE']","['E', 'e']","['E', 'am']","['E', 'e']","['E', 'je']","['E', 'e']","['E', 'ɑ̃']","['E', 'e']","['E', 'as']","['ɛ', 'əʁE']",['ɛ'],['ɛ'],"['ab', 's']"
abandonner,"['O', 'ɔ̃']","['O', 'ɔ̃']",['ɔ'],"['O', 'jɔ̃']","['ɔ', 'əʁE']",['ɔ'],"['O', 'at']","['O', 'a']","['O', 'asje']","['ɔ', 'əʁje']","['ɔ', 'əʁE']","['O', 'as']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɔ'],"['O', 'a']",['ɔ'],"['O', 'jɔ̃']","['O', 'E']","['O', 'E']","['O', 'E']","['O', 'Eʁ']",['ɔ'],['ɔ'],"['O', 'E']","['O', 'a']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']","['ɔ', 'əʁa']","['O', 'je']",['ɔ'],"['O', 'E']","['O', 'e']","['O', 'e']","['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']","['ɔ', 'əʁE']","['O', 'e']","['O', 'am']","['O', 'e']","['O', 'je']","['O', 'e']","['O', 'ɑ̃']","['O', 'e']","['O', 'as']","['ɔ', 'əʁE']",['ɔ'],['ɔ'],"['abɑ̃d', 'n']"
abasourdir,"['s', 'ɔ̃']","['s', 'ɔ̃']",[''],['sjɔ̃'],['ʁE'],['s'],['t'],[''],['sje'],['ʁje'],['ʁE'],['s'],"['ʁ', 'ɔ̃']",['ʁa'],['s'],['s'],[''],[''],['sjɔ̃'],[''],['sE'],['sE'],['ʁ'],['s'],[''],['sE'],[''],"['ʁ', 'ɔ̃']",['ʁE'],"['ʁ', 'e']",['ʁa'],['sje'],[''],['sE'],['ʁ'],[''],[''],['ʁjɔ̃'],['sjɔ̃'],['ʁE'],"['s', 'e']",['m'],"['s', 'e']",['sje'],[''],['sɑ̃'],[''],['s'],['ʁE'],['s'],['s'],['abazuʁdi']
abattre,"['t', 'ɔ̃']","['t', 'ɔ̃']",[''],"['t', 'jɔ̃']",['tʁE'],['t'],"['t', 'it']","['t', 'i']","['t', 'isje']","['tʁi', 'je']",['tʁE'],"['t', 'is']","['tʁ', 'ɔ̃']",['tʁa'],"['t', 'is']",['t'],"['t', 'is']",[''],"['t', 'jɔ̃']","['t', 'i']","['t', 'E']","['t', 'E']","['t', 'iʁ']",['t'],[''],"['t', 'E']","['t', 'i']","['tʁ', 'ɔ̃']",['tʁE'],['tʁe'],['tʁa'],"['t', 'je']",[''],"['t', 'E']",['tʁ'],['t'],['t'],"['tʁi', 'jɔ̃']","['t', 'isjɔ̃']",['tʁE'],"['t', 'e']","['t', 'im']","['t', 'e']","['t', 'je']",['t'],['tɑ̃'],['t'],"['t', 'is']",['tʁE'],['t'],['t'],"['aba', 'y']"
abdiquer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abdik']
abhorrer,"['O', 'ɔ̃']","['O', 'ɔ̃']",['ɔ'],"['O', 'jɔ̃']","['ɔ', 'əʁE']",['ɔ'],"['O', 'at']","['O', 'a']","['O', 'asje']","['ɔ', 'əʁje']","['ɔ', 'əʁE']","['O', 'as']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁa']","['O', 'as']",['ɔ'],"['O', 'a']",['ɔ'],"['O', 'jɔ̃']","['O', 'E']","['O', 'E']","['O', 'E']","['O', 'Eʁ']",['ɔ'],['ɔ'],"['O', 'E']","['O', 'a']","['ɔ', 'əʁ', 'ɔ̃']","['ɔ', 'əʁE']","['ɔ', 'əʁ', 'e']","['ɔ', 'əʁa']","['O', 'je']",['ɔ'],"['O', 'E']","['O', 'e']","['O', 'e']","['O', 'e']","['ɔ', 'əʁjɔ̃']","['O', 'asjɔ̃']","['ɔ', 'əʁE']","['O', 'e']","['O', 'am']","['O', 'e']","['O', 'je']","['O', 'e']","['O', 'ɑ̃']","['O', 'e']","['O', 'as']","['ɔ', 'əʁE']",['ɔ'],['ɔ'],"['ab', 'ʁ']"
abjurer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abʒyʁ']
abolir,"['s', 'ɔ̃']","['s', 'ɔ̃']",[''],['sjɔ̃'],['ʁE'],['s'],['t'],[''],['sje'],['ʁje'],['ʁE'],['s'],"['ʁ', 'ɔ̃']",['ʁa'],['s'],['s'],[''],[''],['sjɔ̃'],[''],['sE'],['sE'],['ʁ'],['s'],[''],['sE'],[''],"['ʁ', 'ɔ̃']",['ʁE'],"['ʁ', 'e']",['ʁa'],['sje'],[''],['sE'],['ʁ'],[''],[''],['ʁjɔ̃'],['sjɔ̃'],['ʁE'],"['s', 'e']",['m'],"['s', 'e']",['sje'],[''],['sɑ̃'],[''],['s'],['ʁE'],['s'],['s'],['abOli']
abominer,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abOmin']
abonder,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],['a'],['asje'],['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],['as'],[''],['a'],[''],['jɔ̃'],['E'],['E'],['E'],['Eʁ'],[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['e'],['am'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],[''],[''],['abɔ̃d']
