,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abaisser,"['u', 'ɔ̃']","['e', 'ɔ̃']",['ɑ̃'],"['ə', 'n', 'jɔ̃']",['əʁE'],['k'],"['d', 'it']",['ɥa'],"['v', 'isje']",['ivʁije'],['OdʁE'],['fys'],[nan],"['O', 'ʁiʁa']",['Olys'],['l'],"['Ø', 'i']",['i'],"['l', 'jɔ̃']",['zizi'],"['o', 'E']","['v', 'E']",['wEʁ'],['ɛɲ'],[nan],['EɲE'],"['e', 'E', 'a']","['Odʁ', 'ɔ̃']",['waʁE'],"['i', 'ʁe']",['waʁa'],"['ij', 'ije', 'je']",['œ'],"['wa', 'jE']",['kʁ'],['t'],"['Ø', 'e']","['ɛ', 'əʁjɔ̃']",['jisjɔ̃'],"['O', 'ʁiʁE']","['O', 'e']","['ə', 'am']","['e', 'v']","['ə', 'n', 'je']",['ɛt'],['alɑ̃'],['Oly'],['akis'],['pʁE'],"['œ', 'j']",['u'],"['ak', 'j']"
abandonner,"['O', 'ʁ', 'ɔ̃']","['ə', 'n', 'ɔ̃']","['v', 'E']","['ə', 'jɔ̃']",['dʁE'],"['sw', 'a']",['t'],['a'],['jisje'],"['i', 'ʁje']",['OʁE'],"['d', 'is']","['iʁ', 'ɔ̃']",['ɛ̃dʁa'],['Etis'],[nan],['ly'],['ɥis'],"['Eʁ', 'jɔ̃']",['aly'],['uE'],"['waE', 'jE']",['viʁ'],['y'],['ɑ̃'],"['Eɲ', 'E']","['t', 'i']","['u', 'ʁ', 'ɔ̃']",['ivʁE'],"['uv', 'ʁe']",['jiʁa'],['Ezje'],['ʁ'],"['wa', 'jE']",['tʁ'],"['e', 'e']",['p'],['jɛ̃dʁijɔ̃'],['wasjɔ̃'],['ʁiʁE'],"['aʃ', 'e']","['ø', 'am']",['Ete'],"['ə', 'n', 'je']","['wa', 'je']",['ɑ̃'],"['Ø', 'e']",['s'],"['ɛ̃d', 'ʁE']",['ɥis'],['m'],['ʁEɑ̃gaʒ']
abasourdir,"['iz', 'ɔ̃']","['z', 'ɔ̃']",['y'],"['l', 'jɔ̃']",['uvʁE'],"['ɔ', 'ʁ']","['wa', 'jat']","['O', 'ʁi']","['E', 'asje']","['vʁi', 'je']",['oʁE'],"['j', 'as']","['əvʁ', 'ɔ̃']",['aʁa'],"['o', 'as']",['t'],['ji'],['i'],"['was', 'jɔ̃']",['i'],['E'],['avE'],"['o', 'Eʁ']",['ɛn'],['ʁ'],"['j', 'E']","['Eɲ', 'i']","['oʁ', 'ɔ̃']",['OdʁE'],"['udʁ', 'e']",['pʁa'],['Ezje'],"['ou', 'oulv']","['E', 'jE']","['Ø', 'iʁ']",['Oly'],['uly'],['miʁjɔ̃'],"['e', 'asjɔ̃']",['udʁE'],"['ø', 'e']","['wa', 'jam']","['E', 'e']","['p', 'je']",['mi'],['ulɑ̃'],['vi'],['Eɲis'],"['wj', 'wjEa', 'Eaʁ', 'E']",['ɔ'],['ø'],"['klwaz', 'n']"
abattre,"['Øv', 'ɔ̃']","['ə', 'n', 'ɔ̃']",['i'],"['ʁi', 'jɔ̃']",['uvʁE'],['was'],"['O', 'at']",['vi'],"['u', 'ysje']","['ʁ', 'je']",['viʁE'],"['u', 'ys']","['pʁ', 'ɔ̃']",['tʁa'],['tis'],['ɔlv'],['ʁi'],['wa'],"['l', 'jɔ̃']",['ɥE'],"['e', 'E']","['E', 'E']",['jiʁ'],['wa'],"['ɔ', 'ʁ']","['t', 'E']","['O', 'a']","['əi', 'əiʁ', 'ɔ̃']",['tiʁE'],"['od', 'ʁ', 'e']",['uvʁa'],"['e', 'je']",['ø'],"['ø', 'E']",['udʁ'],"['O', 'e']",['Et'],['viʁjɔ̃'],"['v', 'isjɔ̃']",['jiʁE'],['ze'],['am'],['ue'],['e'],['p'],['əzɑ̃'],['mi'],"['ø', 'as']",['EʁE'],['oz'],['iv'],['vEks']
abdiquer,"['p', 'ɔ̃']","['ən', 'ɔ̃']",['ɛ'],['jɔ̃'],['jɛ̃dʁE'],"['œ', 'j']",['ɥat'],['aki'],['visje'],['iʁje'],['səʁE'],['ɥas'],"['əi', 'əiʁ', 'ɔ̃']",['Odʁa'],"['e', 'E', 'as']",['as'],['Oly'],"['E', 'ɛ']",['yvjɔ̃'],"['al', 'E']",['alE'],"['m', 'E']",['lyʁ'],['ɔ'],['E'],"['O', 'E']",['ɥa'],"['Ø', 'əʁ', 'ɔ̃']",['EʁʁE'],"['əvʁ', 'e']","['E', 'əʁa']","['E', 'je']","['v', 'a']","['u', 'E']",['ɛtʁ'],['e'],['p'],"['u', 'ʁjɔ̃']","['Ø', 'asjɔ̃']",['əvʁE'],"['w', 'e']","['d', 'im']",['ʁe'],"['Es', 'je']",['k'],['ozɑ̃'],"['e', 'E', 'e']",['ʁis'],"['u', 'ʁE']",['u'],['ɛɲ'],['akaɲaʁd']
abhorrer,"['o', 'ɔ̃']","['o', 'ɔ̃']",['u'],"['z', 'j', 'ɔ̃']","['Øv', 'ʁE']","['a', 'j']",['Olyt'],[nan],"['jas', 'je']","['e', 'E', 'əʁje']",['EʁʁE'],"['t', 'is']","['œ', 'əʁ', 'ɔ̃']",['Øvʁa'],"['is', 'v']",[nan],"['O', 'a']",['ʁ'],"['ə', 'jɔ̃']","['Ø', 'E']","['E', 'jE']",[nan],"['u', 'yʁ']",['iz'],['u'],['jE'],"['v', 'i']","['ɛ', 'əʁ', 'ɔ̃']",['miʁE'],"['Ø', 'əʁ', 'e']","['waE', 'waEʁa']","['Ø', 'je']",['ɛ'],"['e', 'E', 'E']","['al', 'e']",['ɛ'],['uly'],"['udʁi', 'jɔ̃']","['O', 'ʁisjɔ̃']",['EʁE'],"['əɛ', 'əɛzt', 'zt', 'e']","['zm', 'zmim']",['ɛt'],"['ø', 'je']",['z'],"['o', 'ɑ̃']","['wa', 'je']","['e', 'as']","['E', 'əʁE']",['i'],"['ɛ', 'j']",['Eʃɑ̃ʒ']
abjurer,"['ø', 'ɔ̃']","['s', 'ɔ̃']",['ʁ'],"['wa', 'jɔ̃']",['udʁE'],['wav'],['at'],['ja'],"['v', 'isje']","['Odʁi', 'je']",['ivʁE'],"['Ø', 'is']","['Øv', 'ʁɔ̃']","['od', 'ʁa']","['d', 'is']",['j'],"['wa', 'ja']",[''],"['p', 'jɔ̃']",[''],"['j', 'E']",[nan],[nan],['œ'],['ɛ̃'],"['was', 'E']",['ti'],"['pʁ', 'ɔ̃']",['uvʁE'],['pʁe'],['Etʁa'],"['p', 'je']",['wa'],['izE'],['Eʁiʁ'],['ɛ̃'],"['al', 'e']","['E', 'əʁjɔ̃']",['visjɔ̃'],['əʁE'],"['aʃ', 'e']",['ʁim'],['Eɲe'],"['ən', 'je']",['i'],['Ezɑ̃'],"['ɥ', 'e']","['ø', 'as']",['EtʁE'],['l'],['ɛt'],['dEsij']
abolir,"['p', 'ɔ̃']",[nan],['jɛ̃'],"['Es', 'jɔ̃']",['ivʁE'],['ɔ'],['akit'],['ji'],"['ɛ̃s', 'je']","['ɑ̃dʁi', 'je']","['ud', 'ʁE']",['Etis'],"['ɛ̃d', 'ʁ', 'ɔ̃']","['əi', 'əiʁa']","['d', 'is']",['sis'],['ʁi'],['i'],"['t', 'jɔ̃']",['wE'],"['ul', 'E']",['lE'],"['y', 'ʁ']",['jɛn'],"['Ew', 'Ewa']","['ə', 'E']",['ji'],"['Eʁ', 'ʁɔ̃']",['EʁE'],"['əʁ', 'e']",['ivʁa'],['je'],"['wa', 'jE']","['d', 'E']",['ɔʁ'],['uly'],['ɛ'],['ivʁijɔ̃'],['tisjɔ̃'],"['i', 'ʁE']","['es', 'e']",['tim'],"['ɔlv', 'e']","['E', 'e']",['ti'],[nan],['ti'],"['ø', 'as']","['i', 'ʁE']",[nan],['ɔlv'],['baʁ']
abominer,"['Eɲ', 'ɔ̃']","['ən', 'ɔ̃']","['wa', 'jE']","['O', 'ɔ̃']","['əv', 'ʁE']",['jɛn'],"['wa', 'jat']",['aly'],"['aɲ', 'isje']",['tiʁje'],['viʁE'],['s'],"['əi', 'əiʁ', 'ɔ̃']",['oʁa'],[nan],['ɔ'],['Oly'],['ɛ'],['ɔ̃'],['y'],['yvE'],['EjE'],['uEʁ'],['ɛ'],['ʁ'],"['E', 'E']",['ɛ̃'],"['yəʁ', 'ɔ̃']",['uvʁE'],"['Eʁ', 'ʁe']",['uvʁa'],['yvje'],['œ'],"['av', 'E']",['udʁ'],['z'],"['v', 'i']","['əi', 'əiʁjɔ̃']",['isjɔ̃'],"['O', 'ʁiʁE']","['tz', 'tz', 'e']",['im'],"['p', 'e']","['uvj', 'e']",['k'],['izɑ̃'],"['O', 'e']",['ɥas'],"['waE', 'waEʁE']",['aɲ'],['wa'],['Eksplwat']
abonder,"['e', 'ɔ̃']","['p', 'ɔ̃']",[nan],"['t', 'jɔ̃']",['OdʁE'],['ɛs'],['ɥat'],"['p', 'i']",['ɥasje'],['waʁje'],['waʁE'],['vis'],"['ɛ̃dʁ', 'ɔ̃']",['jiʁa'],"['Ø', 'is']",['E'],['ɥa'],"['wa', 'jE']",['uvjɔ̃'],['a'],"['ɥ', 'E']",['avE'],['ziziʁ'],['iv'],['u'],"['Øv', 'E']",['uly'],"['Øvʁ', 'ɔ̃']",['ivʁE'],[nan],['Etʁa'],"['y', 'je']",['wa'],"['Et', 'E']",['je'],['ɛ'],[''],['ivʁijɔ̃'],"['fys', 'jɔ̃']",['viʁE'],['ze'],"['o', 'am']",['ze'],"['ij', 'ije', 'je']","['o', 'e']","['E', 'jɑ̃']","['E', 'e']",['Ekys'],['jiʁE'],['sis'],['ø'],['tipogʁaf']
