,1.imp.prs.pl,1.ind.prs.pl,1.ind.prs.sg,1.prs.pl.sbjv,1.sg.prs.cond,1.sg.prs.sbjv,2.ind.pl.pst,2.ind.sg.pst,2.pl.pst.sbjv,2.prs.cond.pl,2.sg.prs.cond,2.sg.pst.sbjv,3.ind.fut.pl,3.ind.fut.sg,3.pl.pst.sbjv,3.prs.pl.sbjv,3.sg.pst.sbjv,imp.prs.2.sg,ind.1.pl.ipfv,ind.1.pst.sg,ind.1.sg.ipfv,ind.3.pl.ipfv,ind.3.pl.pst,ind.3.prs.pl,ind.3.prs.sg,ind.3.sg.ipfv,ind.3.sg.pst,ind.fut.1.pl,ind.fut.1.sg,ind.fut.pl.2,ind.fut.sg.2,ind.pl.2.ipfv,ind.prs.2.sg,ind.sg.2.ipfv,inf,m.ptcp.pl.pst,m.ptcp.sg.pst,pl.1.prs.cond,pl.1.pst.sbjv,pl.3.prs.cond,pl.imp.prs.2,pl.ind.1.pst,pl.ind.prs.2,pl.prs.2.sbjv,ptcp.pl.pst.f,ptcp.prs,ptcp.sg.pst.f,sg.1.pst.sbjv,sg.3.prs.cond,sg.3.prs.sbjv,sg.prs.2.sbjv,stem
abaisser,['jɔ̃'],['wɔ̃'],[''],['sjɔ̃'],['ɑ̃dʁE'],[''],"['E', 'at']",['a'],['zisje'],['əʁje'],['əʁE'],['as'],"['ɔ', 'əʁ', 'ɔ̃']","['ɛ', 'əʁa']",[nan],['ɔ'],"['O', 'a']",[''],['jɔ̃'],['E'],['sE'],"['E', 'E']","['O', 'Eʁ']",['ɔ'],['je'],['E'],['a'],"['ɔ', 'əʁ', 'ɔ̃']",['ivʁE'],['dʁe'],['dʁa'],"['O', 'je']",[''],['E'],['e'],['e'],['ly'],"['ɔ', 'əʁjɔ̃']",['asjɔ̃'],"['E', 'əʁE']","['o', 'e']",['am'],"['e', 'v']",['je'],['oz'],['ɑ̃'],['e'],"['O', 'as']",['əʁE'],[''],['ɛ'],"['dEbul', 'n']"
abandonner,['ɔ̃'],['ɔ̃'],[''],[nan],"['ɛ', 'əʁE']",['ɔ'],['at'],['a'],"['ɛ̃s', 'je']",['əʁje'],['əʁE'],['as'],"['əʁ', 'ɔ̃']",['əʁa'],"['O', 'as']",['i'],['a'],[''],"['O', 'jɔ̃']",['E'],['E'],['E'],['Eʁ'],['ɔ'],[''],['E'],['a'],"['ɔ', 'əʁ', 'ɔ̃']",['əʁE'],"['ɛ', 'əʁ', 'e']",['ʁa'],"['ə', 'n', 'je']",[''],['E'],"['w', 'e']",['e'],['e'],['əʁjɔ̃'],['asjɔ̃'],"['ɔ', 'əʁE']",['e'],['ɥam'],['e'],['je'],['e'],['ɑ̃'],['e'],['as'],['əʁE'],['ɔ'],[''],['syʁfas']
abasourdir,"['O', 'ɔ̃']",['ɔ̃'],[''],"['i', 'jɔ̃']","['ɛ', 'əʁE']",[''],"['O', 'at']",['a'],['asje'],['əʁje'],['əʁE'],"['E', 'as']","['ʁ', 'ɔ̃']",['əʁa'],['jas'],['ɔ'],['a'],[''],['jɔ̃'],['jE'],['jE'],['E'],['Eʁ'],['ɔ'],['ɔ'],['E'],"['O', 'a']","['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],['ɛ'],"['o', 'E']",['je'],"['e', 'E', 'e']",['e'],['əʁjɔ̃'],['ysjɔ̃'],"['ɛ', 'əʁE']",['e'],['am'],[nan],['je'],"['O', 'e']","['O', 'ɑ̃']",['e'],"['O', 'as']","['ɛ', 'əʁE']",['ɛ'],[''],['avØgl']
abattre,['ɔ̃'],['ɔ̃'],[''],['jɔ̃'],['əʁE'],[''],['at'],"['O', 'a']","['ə', 'asje']",['əʁje'],"['ɔ', 'əʁE']",['jas'],"['ɔ', 'əʁ', 'ɔ̃']",['əʁa'],['jas'],['ɛ'],"['E', 'a']",[''],"['i', 'jɔ̃']","['O', 'E']",['E'],[nan],"['E', 'Eʁ']",['jɛn'],[''],['E'],['ja'],"['əʁ', 'ɔ̃']",['əʁE'],"['ʁ', 'e']",['əʁa'],[nan],[''],"['O', 'E']",['ʁ'],['e'],['je'],['əʁjɔ̃'],['asjɔ̃'],"['ɛ', 'əʁE']","['O', 'e']",['jam'],['e'],['je'],['e'],['sɑ̃'],['e'],['as'],"['ɛ', 'əʁE']",['ɛt'],[''],['ʁəgaʁni']
abdiquer,['ɔ̃'],['ɔ̃'],['ɛ'],"['E', 'ɔ̃']","['iʁ', 'E']",[''],['jat'],['a'],['asje'],"['əi', 'əiʁje']","['ɔ', 'əʁE']","['d', 'is']","['əʁ', 'ɔ̃']","['ɛ̃d', 'ʁa']",['as'],['d'],['a'],[''],"['O', 'jɔ̃']",['E'],['E'],"['ə', 'E']","['E', 'Eʁ']",[''],['ɔ'],['E'],['a'],"['ɛ', 'əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['əʁa'],['je'],[''],['E'],['e'],['je'],['e'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],"['O', 'e']",['m'],['je'],['je'],['t'],['jɑ̃'],['e'],"['E', 'as']",['əʁE'],[''],['s'],"['bʁəv', 't']"
abhorrer,"['E', 'ɔ̃']",['ɔ̃'],[''],"['j', 'ɔ̃']","['ɔ', 'əʁE']",['u'],['at'],['a'],['asje'],"['ɛ', 'əʁje']",['ʁE'],"['O', 'as']","['əʁ', 'ɔ̃']",['ʁa'],['as'],['l'],['a'],['E'],"['ə', 'jɔ̃']","['O', 'E']",['E'],"['O', 'E']",['Eʁ'],[''],['i'],['E'],[''],"['ɔ', 'əʁ', 'ɔ̃']",['əʁE'],"['ɛ', 'əʁ', 'e']",['ʁa'],"['y', 'je']",[''],['jE'],['e'],"['O', 'e']",['e'],"['ɛ', 'əʁjɔ̃']",['asjɔ̃'],['əʁE'],"['d', 'e']",['am'],['e'],"['Et', 'je']","['O', 'e']","['O', 'ɑ̃']",['ut'],['as'],['əʁE'],[''],[''],['stʁid']
abjurer,['ɔ̃'],['ɔ̃'],[''],"['ə', 'jɔ̃']","['ɔ', 'əʁE']",[''],"['O', 'at']",['a'],['asje'],['əʁje'],['əʁE'],['as'],"['waE', 'waEʁ', 'ɔ̃']",['əʁa'],['jas'],['ɔ'],['a'],['ɛ'],['jɔ̃'],['E'],['jE'],['E'],['Eʁ'],['ɔ'],['ɛ̃'],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['ʁ', 'e']",['əʁa'],['sje'],[''],['E'],['e'],['e'],['je'],['əʁjɔ̃'],['asjɔ̃'],['əʁE'],['ze'],['am'],['e'],"['ə', 'je']",['e'],['ɑ̃'],['e'],['as'],"['ɛ̃d', 'ʁE']",[''],[''],"['ɑ̃m', 'n']"
abolir,"['wa', 'jɔ̃']","['O', 'ɔ̃']",[''],"['E', 'jɔ̃']",['əʁE'],['i'],['at'],['a'],"['Ekys', 'je']",['əʁje'],['əʁE'],['as'],"['ɛ', 'əʁ', 'ɔ̃']",['ʁa'],"['O', 'as']",['ɔ'],"['Eɲ', 'i']",['ɔ'],"['v', 'jɔ̃']","['O', 'E']","['o', 'E']",['E'],"['ɛ̃', 'ʁ']",[''],['ɛ'],['E'],['a'],"['əʁ', 'ɔ̃']","['ɛ', 'əʁE']",['dʁe'],['əʁa'],['sje'],['ɔ'],['jE'],"['E', 'e']","['O', 'e']","['O', 'e']","['ɛ', 'əʁjɔ̃']",['asjɔ̃'],['ʁE'],"['O', 'e']",['am'],"['wa', 'je']","['O', 'je']",['e'],"['E', 'ɑ̃']","['O', 'e']",['as'],['əʁE'],[''],['ɔ'],"['ɛ̃tɛʁv', 'y']"
abominer,['ɔ̃'],"['E', 'ɔ̃']",['y'],"['O', 'jɔ̃']",['əʁE'],['s'],"['Eɲ', 'it']",['a'],['asje'],"['ɛ', 'əʁje']","['ɔ', 'əʁE']",['as'],"['əʁ', 'ɔ̃']","['ɛ', 'əʁa']","['ə', 'as']",[''],['a'],[''],['jɔ̃'],['zi'],"['ə', 'E']","['E', 'E']","['O', 'Eʁ']",[''],[''],['E'],['a'],"['əʁ', 'ɔ̃']",['əʁE'],"['əʁ', 'e']",['dʁa'],['e'],[''],['E'],"['E', 'e']",['t'],['e'],"['ɛ', 'əʁjɔ̃']","['jas', 'jɔ̃']",['ʁE'],"['E', 'e']",['am'],"['O', 'e']","['O', 'je']",['e'],['ɑ̃'],"['Ø', 'e']","['O', 'as']",['ʁE'],[''],['s'],['dEzɑ̃gaʒ']
abonder,"['s', 'ɔ̃']","['O', 'ɔ̃']",[''],['jɔ̃'],"['ɛ', 'əʁE']",[''],['at'],['a'],"['E', 'asje']",['əʁje'],['əʁE'],['as'],"['ʁiʁ', 'ɔ̃']",['əʁa'],['ɥas'],[''],[''],[''],['sjɔ̃'],[''],"['O', 'E']","['o', 'E']",['Eʁ'],['ɔ'],['i'],['E'],['a'],"['ɔ', 'əʁ', 'ɔ̃']",['əʁE'],"['ʁ', 'e']",['əʁa'],['je'],['ɔ'],"['O', 'E']",['e'],[''],['je'],"['ɛ', 'əʁjɔ̃']",['asjɔ̃'],['əʁE'],['e'],['am'],"['s', 'e']",['je'],"['O', 'e']",['sɑ̃'],"['O', 'e']",['zis'],['ʁE'],[''],[''],"['ʁEvEj', 'n']"
