Keys,Averages,ncomms_upper,ncomms_lower
0.1_0.0,1.0,2,2
0.2_0.1,1.0,2,3
0.3_0.2,0.8964810017271158,3,4
0.4_0.3,0.8960473778598239,4,4
0.5_0.4,0.9070826099457386,4,5
0.6_0.5,0.8386375538904325,5,5
0.7_0.6,0.9034025648923402,5,6
0.8_0.7,0.9120546176630401,6,7
0.9_0.8,0.8867371902390346,7,7
1.0_0.9,0.8557730281020787,7,10
1.1_1.0,0.9345690002454086,10,17
1.2_1.1,0.9395890745538941,17,18
1.3_1.2,0.9509147730181179,18,17
1.4_1.3,0.970651504699467,17,52
1.5_1.4,0.635445117055274,52,99
1.6_1.5,0.13182569126938923,99,105
1.7_1.6,0.1437402315905097,105,329
1.8_1.7,0.11587700258742288,329,631
1.9_1.8,0.1134469164840454,631,942
2.0_1.9,0.12547175562879975,942,1173
